"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
54116,3,2,11001,2,11,1,1,4,9,3,1,1,1,63,1
54903,3,2,11001,3,11,1,1,5,9,7,3,1,1,29,1
54903,3,2,11001,3,11,1,1,5,9,7,3,1,2,26,8
55093,3,2,11001,2,11,1,1,4,9,4,1,1,1,6,3
55093,3,2,11001,2,11,1,1,4,9,4,1,1,2,1,3
55093,3,2,11001,2,11,1,1,4,9,4,1,1,1,29,1
55093,3,2,11001,2,11,1,1,4,9,4,1,1,1,21,3
55093,3,2,11001,2,11,1,1,4,9,4,1,1,2,38,2
55093,3,2,11001,2,11,1,1,4,9,4,1,1,2,13,3
55093,3,2,11001,2,11,1,1,4,9,4,1,1,1,19,3
55214,3,1,11001,1,11,1,1,3,9,6,1,1,1,60,1
55391,3,2,11001,3,11,1,6,3,9,3,1,1,1,65,1
56382,3,2,11001,4,11,1,1,3,9,7,1,1,1,32,1
56961,3,2,11001,2,11,1,1,4,9,5,1,1,2,31,3
56961,3,2,11001,2,11,1,1,4,9,5,1,1,1,46,4
56961,3,2,11001,2,11,1,1,4,9,5,1,1,1,79,1
57054,3,2,11001,2,11,1,3,4,9,6,1,2,2,3,3
57054,3,2,11001,2,11,1,3,4,9,6,1,2,1,29,1
57054,3,2,11001,2,11,1,3,4,9,6,1,2,2,22,2
