"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","M_01","M_02","M_03","M_04","M_05","M_06","M_07","M_08","M_08_VALOR","M_08_TEXTO","M_09_A","M_09_B","M_09_C","M_09_D","M_09_E","M_09_F","M_09_G","M_09_H","M_09_I","M_10_A","M_10_B","M_10_C","M_10_D","M_10_E","M_10_F","M_10_G","M_10_H","M_10_I","M_10_J","M_10_K","M_10_L","M_10_M","M_10_N","M_10_O","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y"
39074,"25307",1,1,2,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
39286,"73001",3,1,2,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
39430,"11001",2,1,3,5,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
39509,"08001",2,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
39839,"54001",1,1,2,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
39880,"17001",1,1,3,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
40154,"23807",1,1,1,5,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
40524,"20001",2,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
41478,"63401",1,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
41497,"11001",3,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
41957,"41001",1,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
42260,"11001",2,1,2,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
42275,"91540",1,2,NA,3,1,1,1,NA,0,1,1,5,1,30,3e+05,30,1,5000,"CINCO MIL PESOS",NA,NA,1,1,NA,NA,NA,NA,NA,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,3,1,3
42356,"11001",1,1,1,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
42437,"76001",2,1,1,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
42538,"11001",2,1,3,4,1,1,1,NA,0,3,1,4,1,3,40000,40,1,2500,"DOS MIL QUINIENTOS",NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,3,1,3
42659,"85440",1,1,2,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
43140,"76001",2,1,2,3,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
43395,"54001",1,1,8,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
43782,"05001",1,1,1,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
43842,"05001",2,1,2,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
43914,"05615",1,1,3,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
44114,"05615",2,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
44681,"05001",1,1,2,9,1,1,1,NA,1,1,1,5,1,30,1e+05,30,1,2500,"DOS MIL QUINIENTOS",NA,NA,NA,1,1,1,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,3
45134,"23807",1,1,1,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
45216,"63001",1,1,3,5,1,1,1,NA,0,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
45400,"05001",2,1,3,5,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
46020,"05001",1,1,1,1,1,1,1,NA,1,3,1,5,1,30,3e+05,60,1,5000,"CINCO MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
46486,"20001",3,1,1,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
46500,"05001",1,1,2,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
46770,"11001",2,1,3,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
46881,"54001",1,1,1,5,1,1,1,NA,0,3,1,2,1,1,2000,1,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1
46890,"41001",2,1,2,1,1,1,1,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
47039,"76001",3,1,1,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
47044,"66001",1,1,1,5,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5
47298,"11001",2,1,2,5,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
47472,"11001",1,1,2,6,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
47564,"05001",2,1,2,4,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
47615,"05001",2,1,2,3,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
47669,"11001",1,1,2,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
47860,"11001",2,1,1,2,1,1,1,NA,1,3,1,2,2,NA,NA,6,1,2000,"dos mil pesos",NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2
48219,"66001",2,1,5,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
48260,"73001",3,1,2,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
48363,"66001",2,1,4,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
48670,"05001",2,1,2,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
48939,"66001",1,1,1,7,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
49051,"76001",2,1,3,3,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
49176,"05001",3,1,1,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
49233,"05001",2,1,2,3,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
49259,"76111",1,1,2,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
49480,"05001",1,1,1,2,1,1,1,NA,1,3,1,4,1,2,10000,3,1,5000,"CINCO MIL PESOS",NA,NA,1,1,NA,1,NA,NA,NA,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2
49583,"05001",2,1,1,5,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
49694,"05001",1,1,3,2,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
49701,"05001",1,1,1,3,1,1,1,NA,1,3,1,5,1,30,30000,60,1,1000,"MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,3,1,3
49746,"17001",1,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
49780,"17001",2,1,1,1,1,1,1,NA,0,3,1,4,1,3,30000,4,1,5000,"CINCO MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49973,"05001",2,1,3,1,1,1,1,NA,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
50345,"66170",2,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
50721,"05001",2,1,2,1,1,1,1,NA,1,3,1,3,1,2,5000,2,1,2000,"DOS MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1
51030,"91001",1,1,3,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
51531,"76147",1,1,2,8,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7
51788,"76001",1,1,1,8,1,1,1,NA,1,3,1,5,1,30,25000,25,1,1000,"MIL PESOS",NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3
52211,"76001",2,1,2,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
52529,"05001",2,1,3,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
52599,"91001",3,1,1,1,1,1,1,NA,0,2,1,3,1,1,5000,1,1,5000,"CINCO MIL PESOS",NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1
52959,"76834",2,1,4,5,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
53151,"76147",1,1,2,4,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
53257,"76834",1,1,3,2,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
53463,"76001",2,1,3,4,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
53488,"99773",1,1,1,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
53497,"17001",2,1,2,9,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5
53522,"05001",2,1,2,6,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5
53567,"11001",1,1,2,11,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
53576,"25430",1,1,1,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
53819,"11001",1,1,2,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
53840,"11001",2,1,3,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
54111,"25754",2,1,3,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
54116,"11001",3,1,2,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
54180,"25754",3,1,1,2,1,1,1,NA,0,2,1,3,2,NA,NA,2,1,2000,"DOS MIL PESOS",NA,NA,1,1,NA,NA,NA,NA,NA,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2
54256,"17001",2,1,3,1,1,1,1,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
54903,"11001",2,1,3,2,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
55093,"11001",1,1,2,7,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
55127,"17001",1,1,2,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
55214,"11001",1,1,1,1,1,1,1,NA,1,3,1,5,1,30,30000,30,1,1000,"MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,1
55391,"11001",2,1,3,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
55798,"99773",1,1,1,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
55899,"17001",1,1,1,2,1,1,1,NA,0,3,1,4,1,30,60000,30,1,2000,"DOS MIL PESOS",NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,2,1,2,1,1,1,2,1,2,2,2,2,1,2,1,2
55961,"17001",1,1,1,3,1,1,1,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
56101,"17001",2,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
56270,"17001",2,1,4,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
56382,"11001",2,1,4,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
56961,"11001",2,1,2,3,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
57054,"11001",2,1,2,3,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
57776,"17001",2,1,3,3,1,1,1,NA,0,3,1,3,1,20,2e+05,100,1,2000,"DOS MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,3
57938,"17001",1,1,2,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
58009,"17001",2,1,2,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
58487,"17001",2,1,2,1,1,1,1,NA,0,3,1,4,1,4,30000,30,1,1000,"MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58587,"17001",1,1,2,3,1,1,1,NA,0,3,1,1,2,NA,NA,4,1,2000,"DOS MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2
58605,"17001",2,1,2,3,1,1,1,NA,0,3,1,5,1,30,35000,30,1,4000,"CUATRO MIL PESOS",NA,NA,1,1,NA,NA,NA,NA,NA,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,3,1,3
58919,"17001",2,1,3,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
59142,"17001",2,1,6,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
59250,"17001",2,1,3,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
59627,"17001",2,1,3,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
59629,"17001",2,1,1,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
59649,"17001",2,1,2,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6
